year,scenario,incident_patients_per_year,pd_suitable_share,eligible_patients_per_year,pd_uptake,hd_uptake,notes,source_key,source_title,source_url,data_origin,pd_new_starts,hd_new_starts,incremental_pd_uptake_vs_current,incremental_pd_new_starts_vs_current,pd_new_starts_rounded,hd_new_starts_rounded,incremental_pd_new_starts_rounded
2028.0,base_pd_adoption,2190.0,0.6,1314.0,0.26,0.74,Base scenario reaches the 30% PD uptake target by year 5.,MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target,341.64,972.36,0.07,91.98,342,972,92
2028.0,high_pd_adoption,2190.0,0.6,1314.0,0.34,0.6599999999999999,"Ambitious scenario exceeds the 30% target, used to test budget impact under stronger uptake.",MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target,446.76000000000005,867.2399999999999,0.15000000000000002,197.10000000000002,447,867,197
2029.0,current_practice,2190.0,0.6,1314.0,0.19,0.81,Counterfactual scenario keeps PD uptake constant at the current policy anchor.,MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target,249.66,1064.3400000000001,0.0,0.0,250,1064,0
2029.0,low_pd_adoption,2190.0,0.6,1314.0,0.26,0.74,Conservative increase in PD uptake below the 30% policy target by year 5.,MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target,341.64,972.36,0.07,91.98,342,972,92
2029.0,base_pd_adoption,2190.0,0.6,1314.0,0.28,0.72,Base scenario reaches the 30% PD uptake target by year 5.,MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target,367.92,946.0799999999999,0.09000000000000002,118.26000000000003,368,946,118
2029.0,high_pd_adoption,2190.0,0.6,1314.0,0.37,0.63,"Ambitious scenario exceeds the 30% target, used to test budget impact under stronger uptake.",MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target,486.18,827.82,0.18,236.51999999999998,486,828,237
2030.0,current_practice,2190.0,0.6,1314.0,0.19,0.81,Counterfactual scenario keeps PD uptake constant at the current policy anchor.,MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target,249.66,1064.3400000000001,0.0,0.0,250,1064,0
2030.0,low_pd_adoption,2190.0,0.6,1314.0,0.27,0.73,Conservative increase in PD uptake below the 30% policy target by year 5.,MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target,354.78000000000003,959.22,0.08000000000000002,105.12000000000002,355,959,105
2030.0,base_pd_adoption,2190.0,0.6,1314.0,0.3,0.7,Base scenario reaches the 30% PD uptake target by year 5.,MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target,394.2,919.8,0.10999999999999999,144.54,394,920,145
2030.0,high_pd_adoption,2190.0,0.6,1314.0,0.4,0.6,"Ambitious scenario exceeds the 30% target, used to test budget impact under stronger uptake.",MOH_PD_POLICY,Ministry of Health Singapore. Key causes of recent increase in number of patients requiring kidney dialysis,https://www.moh.gov.sg/newsroom/key-causes-of-recent-increase-in-number-of-patients-requiring-kidney-dialysis/,Singapore policy statement on PD-preferred strategy and PD uptake target,525.6,788.4,0.21000000000000002,275.94000000000005,526,788,276
